,name,Orbit (AU),Value ($),Group,($),unit_value($),Metal Content,total_value_dol
175,Sazava,2.452,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
176,Ostro,1.892,13.29 trillion,IMB,13.29,trillion,B_Metal Content,13290000000000.0
177,Barto,2.459,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
178,Einstein,1.9340000000000002,8.24 trillion,IMB,8.24,trillion,B_Metal Content,8240000000000.0
179,Ops,2.291,9.07 trillion,MBA,9.07,trillion,B_Metal Content,9070000000000.0
180,Jennifer,1.915,84.01 trillion,MCA,84.01,trillion,B_Metal Content,84010000000000.0
181,Paola,2.468,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
182,Geichenko,2.452,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
183,Hungaria,1.944,93.54 trillion,IMB,93.54,trillion,B_Metal Content,93540000000000.0
184,2002 CE26,2.233,33.39 trillion,APO,33.39,trillion,B_Metal Content,33390000000000.0
185,Billmclaughlin,2.353,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
186,Roberta,2.475,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
187,Kagamigawa,2.351,60.28 trillion,MBA,60.28,trillion,B_Metal Content,60280000000000.0
188,Kanaya,2.345,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
189,Sayers,2.349,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
190,Limpopo,2.354,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
191,Robeson,2.342,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
192,Dwornik,1.954,6.23 trillion,IMB,6.23,trillion,B_Metal Content,6230000000000.0
193,Devosa,2.383,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
194,Reaves,2.3680000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
195,Dunham,2.463,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
196,Nansenia,2.312,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
197,Walkure,2.4859999999999998,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
198,Viola,2.474,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
199,Betulia,2.197,>100 trillion,AMO,110.0,Too Much,A_High Metal Content,110000000000000.0
200,Wielen,2.285,20.52 trillion,MBA,20.52,trillion,B_Metal Content,20520000000000.0
201,Oskar,2.445,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
202,Aenna,2.464,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
203,Fredegundis,2.573,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
204,Riema,1.979,12.81 trillion,IMB,12.81,trillion,B_Metal Content,12810000000000.0
205,Eichsfeldia,2.345,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
206,Thais,2.431,12.08 billion,MBA,12.08,billion,C_Low Metal Content,12080000000.0
207,Onizaki,2.346,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
208,Newell,2.4019999999999997,32.68 trillion,MBA,32.68,trillion,B_Metal Content,32680000000000.0
209,Portlandia,2.373,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
210,Alvema,2.786,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
211,Hamburga,2.551,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
212,Sarema,2.4819999999999998,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
213,NOT,2.4,875.46 million,MBA,875.46,million,D_Very low Content,875460000.0
214,Tatry,2.351,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
215,Rebekka,2.4,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
216,Drakonia,2.436,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
217,Boury,2.324,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
218,Bilkis,2.431,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
219,Zelinda,2.2969999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
220,d'Alembert,2.7110000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
221,Lindelof,2.763,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
222,Lindbloom,2.399,73.10 trillion,MBA,73.1,trillion,B_Metal Content,73100000000000.0
223,Arpola,2.3280000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
224,Tercidina,2.326,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
225,Braille,2.342,2.78 billion,MCA,2.78,billion,C_Low Metal Content,2780000000.0
226,Brangane,2.5869999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
227,Sanguin,2.319,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
228,Opik,2.3040000000000003,24.54 trillion,MCA,24.54,trillion,B_Metal Content,24540000000000.0
229,Iva,2.8510000000000004,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
230,Idelsonia,2.716,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
231,2001 UC5,2.7430000000000003,879.67 million,AMO,879.67,million,D_Very low Content,879670000.0
232,Tsubetsu,2.401,63.39 trillion,MBA,63.39,trillion,B_Metal Content,63390000000000.0
233,Osiris,2.435,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
234,Gaoshiqi,2.41,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
235,1996 TE11,2.57,1.68 trillion,MCA,1.68,trillion,B_Metal Content,1680000000000.0
236,Lyyli,2.591,>100 trillion,MCA,110.0,Too Much,A_High Metal Content,110000000000000.0
237,1988 AA5,2.7960000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
238,Lambrecht,2.4730000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
239,Spicer,2.697,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
240,Titius,2.419,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
241,Misa,2.657,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
242,Thia,2.585,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
243,Seifert,2.609,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
244,Kridsadaporn,3.113,>100 trillion,MCA,110.0,Too Much,A_High Metal Content,110000000000000.0
245,Dolores,2.701,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
246,Barbarossa,2.568,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
247,Daisetsuzan,2.436,77.84 trillion,MBA,77.84,trillion,B_Metal Content,77840000000000.0
248,Smiley,2.734,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
249,Thernoe,2.7689999999999997,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
250,Flagsymphony,2.778,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
251,Decaro,2.608,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
252,Strattonia,2.6830000000000003,>100 trillion,MBA,110.0,Too Much,A_High Metal Content,110000000000000.0
