des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname
2015 NU2,27,2457163.259864050,2015-May-20 18:14,0.0539330949305818,0.0539328764240883,0.0539333134409198,20.3431511740724,20.3430169433159,< 00:01,20.9,       (2015 NU2)
2019 XF,9,2457173.091235758,2015-May-30 14:11,0.0110833917798449,0.011074440319945,0.0191663866895797,24.6428510487545,24.642311829628,1_09:04,23.3,       (2019 XF)
2007 WM3,10,2457179.178562757,2015-Jun-05 16:17,0.0134007474147381,0.0133878814250302,0.0134136230672723,14.0599587259675,14.0591770564441,00:04,23.1,       (2007 WM3)
2020 UM5,1,2457187.925101781,2015-Jun-14 10:12,0.0238655216926203,0.0219324456543945,0.127323779762297,30.9562848225874,30.9560854773766,5_03:45,26.01,       (2020 UM5)
2019 UT8,2,2457244.045742888,2015-Aug-09 13:06,0.0502608212810381,0.050110470941032,0.0579552287114474,9.16505019014893,9.16473047197717,4_23:29,27.2,       (2019 UT8)
2012 PA,34,2457248.859874904,2015-Aug-14 08:38,0.0505452184157995,0.0505440147160018,0.0505464221226823,22.6630729724334,22.6629444063152,< 00:01,20.3,       (2012 PA)
2013 RG74,8,2457267.399473249,2015-Sep-01 21:35,0.0223554568887868,0.0164129527503888,0.0428547108661768,33.4343813694593,33.4341843320849,19:25,23.3,       (2013 RG74)
139289,108,2457277.466740455,2015-Sep-11 23:12,0.0252634896413659,0.0252629097124929,0.0252640695759243,35.8296031744051,35.8294404735547,< 00:01,17.6,139289 (2001 KR1)
2018 CW2,4,2457281.764502681,2015-Sep-16 06:21,0.050113425173431,0.0500834657355408,0.0501433968339594,17.4669955696557,17.4668273200834,00:03,25.5,       (2018 CW2)
526898,27,2457292.290963004,2015-Sep-26 18:59,0.0297173210072969,0.0297150066446713,0.0297196356828801,19.0942460224864,19.0939864761181,< 00:01,20.6,526898 (2007 HR)
276770,39,2457299.173275601,2015-Oct-03 16:10,0.0305965703466773,0.0305926426525901,0.0306004980407646,40.0084326598148,40.0083123501433,< 00:01,19.9,276770 (2004 HC)
2019 SV6,6,2457325.078283957,2015-Oct-29 13:53,0.042796471021365,0.030427451708286,0.0756008994355333,18.1382458071577,18.1380560827509,2_04:08,23.8,       (2019 SV6)
2014 WZ365,5,2457336.081218965,2015-Nov-09 13:57,0.0488628468695916,0.0367246195543949,0.0611919458712488,18.5195050679979,18.5193423191435,1_05:06,26.0,       (2014 WZ365)
2018 VU4,3,2457337.838074861,2015-Nov-11 08:07,0.0362963296354335,0.0361000417694471,0.0453565215727563,20.2245794971554,20.2243788725862,2_18:03,23.9,       (2018 VU4)
348306,62,2457340.400163266,2015-Nov-13 21:36,0.048316585193659,0.0483163423498454,0.0483168280385081,23.8665860882085,23.8664583741217,< 00:01,21.5,348306 (2005 AY28)
2019 XB,19,2457345.564354005,2015-Nov-19 01:33,0.0256374270137299,0.0255798205144891,0.0289296474424716,18.1381187180345,18.1378020083901,1_14:50,23.6,       (2019 XB)
481442,51,2457350.208082628,2015-Nov-23 17:00,0.0335214868896444,0.0335170695964003,0.0335259043309307,26.3492965720162,26.3491298345304,< 00:01,21.6,481442 (2006 WO3)
2007 AM,18,2457367.799749671,2015-Dec-11 07:12,0.0290654245057379,0.0290604659465801,0.0290703853025858,19.4312349540423,19.4309741886129,00:01,21.7,       (2007 AM)
2017 WG14,4,2457370.796442078,2015-Dec-14 07:07,0.0192082043711093,0.00911133927720665,0.0669460568610965,29.1302664171634,29.1300032116928,2_11:19,24.5,       (2017 WG14)
153953,74,2457378.248641297,2015-Dec-21 17:58,0.050675778946646,0.0506738234046807,0.0506777345248347,32.4433880086541,32.4432984313186,< 00:01,16.7,153953 (2002 AD9)
2016 EO56,3,2457380.010651338,2015-Dec-23 12:15,0.013270253436712,0.00443030162684359,0.0238741747715491,44.8804987067469,44.8802514270388,06:46,23.0,       (2016 EO56)
2019 HH3,2,2457386.472659510,2015-Dec-29 23:21,0.0337909533542186,0.0290629835935048,0.0575575235285214,9.18797232561057,9.18749795774424,1_19:55,25.5,       (2019 HH3)
2011 EH17,6,2457396.094161573,2016-Jan-08 14:16,0.0465701759944848,0.00275487006379748,0.126958967049786,35.9046014154138,35.9045133375611,1_15:37,24.6,       (2011 EH17)
162195,35,2457410.378017320,2016-Jan-22 21:04,0.0378479463388589,0.0378473205405027,0.0378485722057674,13.9297489951462,13.9294696488492,< 00:01,19.2,162195 (1999 RK45)
363027,85,2457421.084884498,2016-Feb-02 14:02,0.0223384617361425,0.0223377417001451,0.0223391817754338,25.2006050169633,25.2003434022305,< 00:01,19.5,363027 (1998 ST27)
2015 SJ7,7,2457422.721749295,2016-Feb-04 05:19,0.0339658444314411,0.0321004745519051,0.0358392460135583,14.0859413346126,14.0856335119232,2_00:22,25.5,       (2015 SJ7)
2016 TZ19,14,2457423.998730426,2016-Feb-05 11:58,0.033917115917817,0.0321931801338678,0.0358680033601699,15.8869358893063,15.8866625709178,10:51,23.1,       (2016 TZ19)
1998 SD9,26,2457431.156694992,2016-Feb-12 15:46,0.0461182287620852,0.0461180742986588,0.0461183832262117,18.1800094766233,18.1798338220151,< 00:01,24.0,       (1998 SD9)
2010 XR69,6,2457438.141703011,2016-Feb-19 15:24,0.0226871493973879,0.0220125360381506,0.0361786317856873,19.9727551808574,19.9724301610726,2_05:57,25.4,       (2010 XR69)
2017 YH,14,2457466.499359138,2016-Mar-18 23:59,0.0428910531312617,0.0428787894538628,0.0429033169180911,37.571040787769,37.5709493964876,< 00:01,18.4,       (2017 YH)
364877,62,2457481.418605391,2016-Apr-02 22:03,0.0244292817325791,0.0244275959935126,0.0244309680270073,26.2929464025412,26.2927171172932,< 00:01,17.3,364877 (2008 EM9)
2016 TH10,13,2457515.856953165,2016-May-07 08:34,0.0280461912363728,0.0267375334026274,0.02936111808221,15.4664452373454,15.4661057179867,02:32,24.9,       (2016 TH10)
1994 WR12,24,2457528.125676181,2016-May-19 15:01,0.015696825278685,0.0156958998584455,0.0156977511110555,13.3016293227063,13.300923949394,00:01,22.3,       (1994 WR12)
2016 DL,10,2457533.990626550,2016-May-25 11:47,0.0373495322369238,0.0373443618459216,0.0373547026412802,27.8648985390129,27.864757030475,00:03,21.3,       (2016 DL)
2016 EJ27,13,2457539.750743300,2016-May-31 06:01,0.0456111163797466,0.0450602054201684,0.0461623688275262,10.5304222801082,10.5301156505567,04:20,25.2,       (2016 EJ27)
138258,39,2457555.903159129,2016-Jun-16 09:41,0.0424233565025527,0.0424225242121523,0.0424241892760659,26.0562382444619,26.0561050124637,< 00:01,19.1,138258 (2000 GD2)
2016 GD241,11,2457560.556582660,2016-Jun-21 01:21,0.0199533686192808,0.0183321005940299,0.021574995361435,27.0723794636389,27.0721068273218,01:10,21.3,       (2016 GD241)
538644,28,2457567.524663759,2016-Jun-28 00:36,0.0217733763855952,0.0217695951605521,0.021777157817123,44.2031934977158,44.2030404786665,< 00:01,19.5,538644 (2016 FA4)
2018 VB1,14,2457599.109453112,2016-Jul-29 14:38,0.0469280707449221,0.0410588006225385,0.0527973658325966,20.2120473862846,20.2118921179716,07:04,23.7,       (2018 VB1)
2019 UN12,20,2457601.501542197,2016-Aug-01 00:02,0.0218617810288303,0.0207353258190052,0.0230117854055574,23.7104732008341,23.7101890813517,03:59,22.0,       (2019 UN12)
481442,51,2457610.102578107,2016-Aug-09 14:28,0.0310286715943686,0.0310252190331466,0.0310321248758865,27.8041677686934,27.8039970612634,< 00:01,21.6,481442 (2006 WO3)
2014 YW14,4,2457615.486957397,2016-Aug-14 23:41,0.0524053626053102,0.0499488034598446,0.0550410453641611,13.4393528307987,13.4391437214416,10:21,27.6,       (2014 YW14)
434326,34,2457655.943992822,2016-Sep-24 10:39,0.0276195322487569,0.027615774518085,0.0276232909359082,21.0055009918191,21.0052471416629,< 00:01,18.4,434326 (2004 JG6)
2007 RU17,65,2457671.903190081,2016-Oct-10 09:41,0.00692857399308594,0.00692428867605567,0.00693285938492528,19.3080808674348,19.3069799529462,< 00:01,18.1,       (2007 RU17)
2020 OQ3,2,2457673.775070018,2016-Oct-12 06:36,0.0499876850705602,0.0444732147227457,0.0565640727984788,15.0899057754601,15.0897105315795,05:03,22.717,       (2020 OQ3)
2018 RA5,11,2457679.829843538,2016-Oct-18 07:55,0.0113445056292888,0.0113413329341859,0.0113476942281144,43.2278506521477,43.2275503375344,< 00:01,19.4,       (2018 RA5)
2019 SF6,4,2457691.783447672,2016-Oct-30 06:48,0.00633699298449477,0.00586435565280475,0.0322231291305708,13.7529885342006,13.7512985970616,6_05:06,26.2,       (2019 SF6)
